,0
SUCCtex,0.9474971389301753
PGK,0.0841582246736418
GAPD,0.08415822467240389
ENO,0.08329937382924599
PGM,0.08329937382915632
TPI,0.03428194721219653
FUM,0.012909975896926384
PPC,0.003002288022655225
MDH,0.00277547873301172
Htex,1.4435172026113164e-13
CITt3pp,-4.4180374989013017e-13
NADH17pp,-5.83968322874578e-13
FRD2,-1.1613752039191045e-12
CITt7pp,-2.1521529202568716e-12
GLCtex_copy2,-5.238217727657731e-12
PFK,-6.484891675367505e-12
FBA,-1.0618600028299911e-11
GLCptspp,-0.0034630581811627694
H2Otex,-0.7629236306516343
H2Otpp,-0.7629236306520323
