rxn_id,kind,pred_score,ensemble,n_int
ATPS4rpp,ko,1.0,1.0,1
O2tpp,ko,0.9988888888888889,0.9988888888888889,1
O2tex,ko,0.9977777777777778,0.9977777777777778,1
ATPM,ko,0.9966666666666667,0.9966666666666667,1
NTP1,down,0.9957433440772729,0.9957433440772729,1
SUCDi,ko,0.9955555555555555,0.9955555555555555,1
PGL,ko,0.9944444444444445,0.9944444444444445,1
G6PDH2r,ko,0.9933333333333333,0.9933333333333333,1
GND,ko,0.9922222222222222,0.9922222222222222,1
RPI,ko,0.9911111111111112,0.9911111111111112,1
TKT1,ko,0.99,0.99,1
RPE,ko,0.9888888888888889,0.9888888888888889,1
TKT2,ko,0.9877777777777778,0.9877777777777778,1
AKGDH,ko,0.9866666666666667,0.9866666666666667,1
SUCOAS,ko,0.9855555555555555,0.9855555555555555,1
GLUDy,ko,0.9844444444444445,0.9844444444444445,1
PGCD,ko,0.9833333333333333,0.9833333333333333,1
PSP_L,ko,0.9822222222222222,0.9822222222222222,1
PSERT,ko,0.9811111111111112,0.9811111111111112,1
GHMT2r,ko,0.98,0.98,1
MTHFC,ko,0.9788888888888889,0.9788888888888889,1
MTHFD,ko,0.9777777777777777,0.9777777777777777,1
PPK,ko,0.9766666666666667,0.9766666666666667,1
ECOAH2,ko,0.975,0.975,1
ACOAD3f,ko,0.975,0.975,1
HACD3,ko,0.9733333333333334,0.9733333333333334,1
ACACT1r,ko,0.9722222222222222,0.9722222222222222,1
ACACT2r,ko,0.9711111111111111,0.9711111111111111,1
ACOAD2f,ko,0.97,0.97,1
ECOAH1,ko,0.9688888888888889,0.9688888888888889,1
ACACT4r,ko,0.9680141620750347,0.9680141620750347,1
GARFT,ko,0.9677777777777777,0.9677777777777777,1
GLYCL,ko,0.9666666666666667,0.9666666666666667,1
ACOAD4f,ko,0.9655555555555555,0.9655555555555555,1
HACD4,ko,0.9644444444444444,0.9644444444444444,1
CBMKr,ko,0.9633333333333334,0.9633333333333334,1
HACD5,ko,0.9622222222222222,0.9622222222222222,1
ACOAD5f,ko,0.9611111111111111,0.9611111111111111,1
HACD6,ko,0.96,0.96,1
ECOAH6,ko,0.9588888888888889,0.9588888888888889,1
ACACT6r,ko,0.9577777777777777,0.9577777777777777,1
PIt2rpp,ko,0.9566666666666667,0.9566666666666667,1
FADRx,ko,0.9555555555555556,0.9555555555555556,1
CYTK1,ko,0.9544444444444444,0.9544444444444444,1
ACOAD6f,ko,0.9533333333333334,0.9533333333333334,1
NDPK3,ko,0.9522222222222222,0.9522222222222222,1
ACACT7r,ko,0.9511111111111111,0.9511111111111111,1
ECOAH7,ko,0.95,0.95,1
IMPD,ko,0.9488888888888889,0.9488888888888889,1
ASNS2,ko,0.9477777777777778,0.9477777777777778,1
G5SD,ko,0.9466666666666667,0.9466666666666667,1
GLU5K,ko,0.9455555555555556,0.9455555555555556,1
ACACT5r,ko,0.9448592567861988,0.9448592567861988,1
AACPS4,ko,0.9444444444444444,0.9444444444444444,1
CTECOAI7,ko,0.9433333333333334,0.9433333333333334,1
NTP1,ko,0.942696215121201,0.942696215121201,1
FACOAE161,ko,0.9422222222222222,0.9422222222222222,1
ACOAD1f,ko,0.9411343206342161,0.9411343206342161,1
AACPS3,ko,0.9411111111111111,0.9411111111111111,1
FACOAE160,ko,0.94,0.94,1
DALAt2pp,ko,0.9388888888888889,0.9388888888888889,1
Kt2pp,ko,0.9377777777777778,0.9377777777777778,1
FACOAE120,ko,0.9366666666666666,0.9366666666666666,1
AACPS7,ko,0.9355555555555556,0.9355555555555556,1
POR5,ko,0.9344444444444444,0.9344444444444444,1
DUTPDP,ko,0.9333333333333333,0.9333333333333333,1
FE2tex,ko,0.9322222222222222,0.9322222222222222,1
RNTR2c2,ko,0.9311111111111111,0.9311111111111111,1
RNTR3c2,ko,0.93,0.93,1
RNTR4c2,ko,0.9288888888888889,0.9288888888888889,1
RNTR1c2,ko,0.9277777777777778,0.9277777777777778,1
MG2t3_2pp,ko,0.9266666666666666,0.9266666666666666,1
FE2tpp,ko,0.9255555555555556,0.9255555555555556,1
FESD1s,ko,0.9244444444444444,0.9244444444444444,1
FESR,ko,0.9233333333333333,0.9233333333333333,1
MOX,ko,0.9222222222222223,0.9222222222222223,1
ZN2tpp,ko,0.9211111111111111,0.9211111111111111,1
NI2tpp,ko,0.92,0.92,1
MN2tpp,ko,0.9188888888888889,0.9188888888888889,1
ACONTa,oe,0.9177777777777778,0.9177777777777778,1
ALAR,oe,0.9166666666666666,0.9166666666666666,1
G5SADs,down,0.9155555555555556,0.9155555555555556,1
DALAt2pp,down,0.9144444444444444,0.9144444444444444,1
KARA1,oe,0.9133333333333333,0.9133333333333333,1
COBALT2tpp,oe,0.9122222222222223,0.9122222222222223,1
